StockNum,Title,ItemID,Revision,Notes,MaxQty,Status,EktronID
HALLMARK_CARD_KIT,Peek-a-boo! Hallmark Card with envelope.,298,,,0,CNA,
DV0499,&#8220;Keep children on track with ImmTrac&#8221; DVD - Bilingual,239,06/2009,,3,InStock,
DV-0531,&#8220;First Responders: Keep Track with ImmTrac&#8221; DVD - English,246,08/2009,Only to be used for educating First Responder audiences.,3,InStock,
EpiVPD,Epidemiology of Vaccine Preventable Diseases - English,374,2014,,0,CNA,
E11-14564,Adult Safety Net (ASN) Program Provider Flyer - Bilingual,406,06/2015,,0,Online,8590000998
F11-11443,Texas Vaccines for Children (TVFC) Provider Withdrawal Form - English,35,11/2008,Please contact your Health Service Region (HSR) representative to obtain a copy or download from our website,0,Online,24508
EF11-14171,Texas Vaccines for Children (TVFC) Vaccine Borrowing Report Form - English,413,03/2016,,0,Online,8589989577
F11-11539,Perinatal Hepatitis B Mom/Client Hospital Card - Bilingual,419,06/2016,,50,InStock,
F11-11936,ImmTrac Newborn Consent Form (ImmTrac NB-2) - Bilingual,189,09/2012,For use by Birth Registrars ONLY,1000,InStock,24724
F11-12842,Adult Safety Net Eligibility Screening Form - Bilingual,252,11/2013,,0,Online,8589944434
F11-12955,ImmTrac First Responder/Family Member Inclusion or Release Form - Bilingual,196,09/2016,,200,InStock,24725
F11-12956-P,ImmTrac Disaster Information Retention Consent Form - Bilingual,197,09/2008,,500,InStock,70554
F11-13078,First Responders ImmTrac Wallet Card - English,205,11/2008,,500,InStock,24727
F11-13366,ImmTrac Adult Consent Form - Bilingual,257,09/2016,,250,InStock,8589987232
F11-13500,ImmTrac Site Agreement and Confidentiality Statement Update/Renewal Form - English,253,11/2011,,0,Online,8589944433
F11-13678P,Immunization Clinic Poster - English,289,05/2015,,25,InStock,8589958142
F11-13788,Patient Referral Form for Vaccination - English,300,12/2011,,0,Online,8589961743
F11-14174,Pertussis PEP Client Evaluation Form - English,383,03/2014,,0,Online,8589986586
F11-14176,Pertussis PEP Medication Contraindications and Precautions Checklist - English,388,06/2015,,0,Online,8589986664
F11-14177,Pertussis PEP Eligibility Criteria Checklist - English,385,08/2014,,0,Online,8589986600
1605,"TVFC Small Vaccine Trays (White, 24 in a carton)",349,,6&#8540;&#8243; &#215; 5&#8243; &#215; 2&#8539;&#8243;,0,CNA,
1607,"TVFC Long Vaccine Trays (White, 24 in a carton) ",348,,12&#189;&#8243; &#215; 5&#8243; &#215; 2&#8539;&#8243;,0,CNA,
11-13338,Flu Fighters Activity Book - Bilingual,249,10/2010,,100,InStock,8589980652
FLU_FIGHTERS,Flu Fighters Videos for the 2010 H1N1 Event DVD - Bilingual,248,,,0,CNA,
